informe,pagina,titulo,evento,tipo
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,14,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 11, Brasil,",inicio_dengue,tabela
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,15,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 11,",inicio_dengue,tabela
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,16,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,17,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 11,",fim_dengue,tabela
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,14,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 12, Brasil,",inicio_dengue,tabela
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,15,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 12,",inicio_dengue,tabela
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,16,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,17,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 12,",fim_dengue,tabela
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,14,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 13, Brasil,",inicio_dengue,tabela
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,15,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 13,",inicio_dengue,tabela
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,16,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,17,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 13,",fim_dengue,tabela
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,14,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 14, Brasil,",inicio_dengue,tabela
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,15,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 14,",inicio_dengue,tabela
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,16,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,17,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 14,",fim_dengue,tabela
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,14,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 15, Brasil,",inicio_dengue,tabela
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,15,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 15,",inicio_dengue,tabela
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,16,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,17,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 15,",fim_dengue,tabela
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,13,"Casos prováveis e coeficiente de incidência (por 100.000 habitantes) de dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,14,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 16,",inicio_dengue,tabela
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,15,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,16,"Casos prováveis e coeficiente de incidência (por 100.000 habitantes) de chikungunya,",fim_dengue,tabela
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,14,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 17, Brasil,",inicio_dengue,tabela
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,15,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 17,",inicio_dengue,tabela
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,16,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,17,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 17,",fim_dengue,tabela
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,13,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 18, Brasil,",inicio_dengue,tabela
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,14,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 18,",inicio_dengue,tabela
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,15,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,16,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 18,",fim_dengue,tabela
Informe Semanal nº 14.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 14.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 14.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 14.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 14.pdf,13,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 20, Brasil,",inicio_dengue,tabela
Informe Semanal nº 14.pdf,14,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 20,",inicio_dengue,tabela
Informe Semanal nº 14.pdf,15,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 14.pdf,16,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 20,",fim_dengue,tabela
Informe Semanal nº 15.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 15.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 15.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 15.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 15.pdf,13,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 21, Brasil,",inicio_dengue,tabela
Informe Semanal nº 15.pdf,14,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 21,",inicio_dengue,tabela
Informe Semanal nº 15.pdf,15,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 15.pdf,16,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 21,",fim_dengue,tabela
Informe Semanal nº 16.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 16.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 16.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 16.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 16.pdf,13,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 22, Brasil,",inicio_dengue,tabela
Informe Semanal nº 16.pdf,14,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 22,",inicio_dengue,tabela
Informe Semanal nº 16.pdf,15,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 16.pdf,16,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 22,",fim_dengue,tabela
Informe Semanal nº 17 (1).pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 17 (1).pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 17 (1).pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 17 (1).pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 17 (1).pdf,13,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 23, Brasil,",inicio_dengue,tabela
Informe Semanal nº 17 (1).pdf,14,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 23,",inicio_dengue,tabela
Informe Semanal nº 17 (1).pdf,15,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 17 (1).pdf,16,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 23,",fim_dengue,tabela
Informe semanal nº 13.pdf,2,Dengue,inicio_dengue,narrativa
Informe semanal nº 13.pdf,4,Chikungunya,fim_dengue,narrativa
Informe semanal nº 13.pdf,7,Dengue,inicio_dengue,narrativa
Informe semanal nº 13.pdf,7,Chikungunya,fim_dengue,narrativa
Informe semanal nº 13.pdf,13,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 19, Brasil,",inicio_dengue,tabela
Informe semanal nº 13.pdf,14,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 19,",inicio_dengue,tabela
Informe semanal nº 13.pdf,15,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe semanal nº 13.pdf,16,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 19,",fim_dengue,tabela
