informe,termo,peso
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,amostras paciente,0.1816
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,amostras,0.1815
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,vacinados virus,0.1654
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,deteccoes deram,0.1654
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,deram amostras,0.1654
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,deram,0.1654
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,amostras individuos,0.1654
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,vacinal coeficiente,0.2078
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,paciente deteccoes,0.1864
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,paciente,0.1864
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,amostras paciente,0.1864
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,amostras,0.1863
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,vacinados virus,0.1698
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,deteccoes deram,0.1698
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,deram amostras,0.1698
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,deram,0.1698
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,amostras individuos,0.1698
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,vacinal coeficiente,0.2195
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,amostras,0.1968
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,recem,0.1794
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,recem vacinados,0.1794
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,vacinados,0.1794
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,vacinados virus,0.1794
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,deram,0.1794
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,amostras individuos,0.1794
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,deram amostras,0.1794
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,individuos,0.1794
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,minas gerais,0.2156
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,minas,0.2156
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,gerais,0.2156
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,sul roraima,0.2142
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,detectado amostra,0.2142
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,acre mato,0.2142
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,amostra,0.2142
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,amostra minas,0.2142
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,gerais deteccoes,0.2142
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,esperado diagrama,0.1492
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,minas gerais,0.2131
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,minas,0.2131
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,gerais,0.2131
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,sul roraima,0.2117
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,detectado amostra,0.2117
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,esperado periodo,0.2117
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,amostra,0.2117
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,acre mato,0.2117
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,gerais deteccoes,0.2117
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,amostra minas,0.2117
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,parana,0.208
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,minas gerais,0.1842
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,gerais,0.1842
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,minas,0.1842
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,superior,0.1829
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,paulo parana,0.1829
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,parana roraima,0.1829
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,limite superior,0.1829
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,esperado periodo,0.1829
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,queda,0.1829
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,parana,0.2241
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,minas gerais,0.1984
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,gerais,0.1984
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,minas,0.1984
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,queda,0.197
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,observado,0.197
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,controle estimativa,0.197
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,parana roraima,0.197
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,paulo parana,0.197
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,tendencia queda,0.197
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,minas gerais,0.1919
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,minas,0.1919
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,gerais,0.1919
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,sul maior,0.1906
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,inferior,0.1906
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,inferior canal,0.1906
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,encontra limite,0.1906
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,limite inferior,0.1906
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,reducao casos,0.1433
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,tendencia reducao,0.1433
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,minas gerais,0.192
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,minas,0.192
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,gerais,0.192
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,inferior canal,0.1907
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,limite inferior,0.1907
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,inferior,0.1907
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,encontra limite,0.1907
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,reducao casos,0.1434
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,paulo roraima,0.1434
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,tendencia reducao,0.1434
Informe Semanal nº 14.pdf,encontra canal,0.2159
Informe Semanal nº 14.pdf,denv mato,0.1923
Informe Semanal nº 14.pdf,federativas destacam,0.1612
Informe Semanal nº 14.pdf,paulo roraima,0.1612
Informe Semanal nº 14.pdf,destacam paulo,0.1612
Informe Semanal nº 14.pdf,grosso maiores,0.1612
Informe Semanal nº 14.pdf,destacam,0.1612
Informe Semanal nº 14.pdf,endemico tendencia,0.1493
Informe Semanal nº 14.pdf,goias mato,0.1493
Informe Semanal nº 14.pdf,parana goias,0.1493
Informe Semanal nº 15.pdf,encontra canal,0.2174
Informe Semanal nº 15.pdf,denv mato,0.1937
Informe Semanal nº 15.pdf,denv detectado,0.1937
Informe Semanal nº 15.pdf,tendencia reducao,0.1623
Informe Semanal nº 15.pdf,reducao casos,0.1623
Informe Semanal nº 15.pdf,grosso maiores,0.1623
Informe Semanal nº 15.pdf,destacam paulo,0.1623
Informe Semanal nº 15.pdf,federativas destacam,0.1623
Informe Semanal nº 15.pdf,paulo roraima,0.1623
Informe Semanal nº 15.pdf,destacam,0.1623
Informe Semanal nº 16.pdf,parana,0.2548
Informe Semanal nº 16.pdf,encontra canal,0.2255
Informe Semanal nº 16.pdf,paulo goias,0.224
Informe Semanal nº 16.pdf,parana mato,0.224
Informe Semanal nº 16.pdf,goias acre,0.224
Informe Semanal nº 16.pdf,denv detectado,0.2009
Informe Semanal nº 16.pdf,federativas destacam,0.1684
Informe Semanal nº 16.pdf,grosso maiores,0.1684
Informe Semanal nº 16.pdf,destacam,0.1684
Informe Semanal nº 16.pdf,destacam paulo,0.1684
Informe Semanal nº 17 (1).pdf,encontra canal,0.2385
Informe Semanal nº 17 (1).pdf,paulo goias,0.2369
Informe Semanal nº 17 (1).pdf,parana mato,0.2369
Informe Semanal nº 17 (1).pdf,observado,0.2369
Informe Semanal nº 17 (1).pdf,goias acre,0.2369
Informe Semanal nº 17 (1).pdf,federativas destacam,0.178
Informe Semanal nº 17 (1).pdf,grosso maiores,0.178
Informe Semanal nº 17 (1).pdf,destacam,0.178
Informe Semanal nº 17 (1).pdf,destacam paulo,0.178
Informe Semanal nº 17 (1).pdf,detectado amostras,0.178
Informe semanal nº 13.pdf,encontra canal,0.2016
Informe semanal nº 13.pdf,superior,0.2002
Informe semanal nº 13.pdf,limite superior,0.2002
Informe semanal nº 13.pdf,denv mato,0.1796
Informe semanal nº 13.pdf,denv detectado,0.1796
Informe semanal nº 13.pdf,virus vacinal,0.1505
Informe semanal nº 13.pdf,destacam paulo,0.1505
Informe semanal nº 13.pdf,federativas destacam,0.1505
Informe semanal nº 13.pdf,paulo roraima,0.1505
Informe semanal nº 13.pdf,destacam,0.1505
